beerid,breweryid,name,abv,ibu,isorganic,isretired,servingtemperature,foodpairings,status,styleid
c4f2KE,nHLlnK,Murican Pilsner,5.5,,N,N,,,verified,98
zTTWa2,nHLlnK,11.5° PLATO,4.5,35,N,N,,,verified,164
zfP2fK,nLsoQ9,12th Of Never,5.5,45,N,N,,"Pizza, Spicy Thai, Korean, or Indian food, Pizza, Whitefish (without heavy sauces) like Sea Bass, Trout, & Most Lake Fish, & Pizza",verified,25
xwYSL2,TMc6H2,15th Anniversary Ale,,,N,N,,,verified,5
UJGpVS,TMc6H2,16 So Fine Red Wheat Wine,11,,N,N,,,verified,35
vz5JZ1,DifSi4,1794 The Fergal Project,4.5,,N,N,,,verified,42
LcpeBb,TMc6H2,17th Saison,9,,N,N,,,verified,72
Yd8G8r,TMc6H2,18th Anniversary Belgian Tripel,10,17,N,N,,,verified,59
iJ329Y,TMc6H2,19 - Golden Belgian Style Ale,7,,N,N,,,verified,135
O78ldO,BznahA,1904 American Red Lager,5,,N,N,,,verified,93
qGDeH1,nHLlnK,2 x 4,8.7,,N,N,,,verified,70
MgdJep,HaPdSL,200th Anniversary Export Stout,6,,N,N,,,verified,24
ISTT06,nHLlnK,2017 Beer Camp,6.5,50,N,N,,"Grilled Fish, Blackened Chicken
Sharp Goat Cheese
Lemon Sorbet",verified,30
v4KRep,TMc6H2,20th Anniversary Imperial Hash IPA on Brett,9,81,N,N,,,verified,31
uIgENV,nHLlnK,20th Street Ale Citra,7.3,,N,N,,,verified,
WcP2Ww,nHLlnK,20th Street Ale Crystal,7.3,,N,N,,,verified,
HyxQE4,nHLlnK,20th Street Ale Magnum,7.3,,N,N,,,verified,
e9sjBk,TMc6H2,21st Anniversary,7.9,7,N,N,,,verified,57
YZXVKq,IImUD9,25th Anniversary,9.8,,N,N,,,verified,158
7z8RTq,nHLlnK,3 Weight,4,,N,N,,,verified,164
f5CWb6,nHLlnK,"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,,N,Y,,,verified,89
0KEzfx,nHLlnK,30th Anniversary - Fritz and Ken's Ale,9.2,,N,Y,,,verified,43
KjumXn,nHLlnK,30th Anniversary - Grand Cru,9.2,,N,N,,,verified,138
8M5lCq,nHLlnK,30th Anniversary - Jack & Ken's Ale,10.2,,N,Y,,,verified,34
ajbd6g,nHLlnK,35th Anniversary  - Brewer's Reserve,8,,N,N,,,verified,14
NoNhan,TMc6H2,420 Extra Pale Ale,5.4,41,N,N,,,verified,25
pOUbfg,TMc6H2,420 Fest,8,,N,N,,,verified,31
jIKwgZ,TMc6H2,420 Strain G13 IPA,6,48,N,N,,,verified,30
lWygSS,IImUD9,471 Double IPA - Hull Melon,9.2,,N,N,,,verified,31
fa0oqf,IImUD9,471 ESB - Extra Special Bitter,7.8,55,N,Y,,,verified,5
HZMvCT,IImUD9,471 IPA Barrel Series: Citra,11.3,70,N,N,,,verified,31
GysKeq,IImUD9,471 IPA Barrel Series: Eureka!,11.2,70,N,N,,,verified,31
tw2Iw0,IImUD9,471 IPA. Aggressive Hoppiness,9.2,70,N,Y,,,verified,31
GYF0P4,IImUD9,471 Pilsner,,,N,N,,,verified,98
j9cp5e,IImUD9,471 Small Batch IPA,9.2,70,N,N,,,verified,30
5MX880,4F7QA9,5 C's IPA,6.5,,N,N,,,verified,30
uA3MVL,p1tFbP,7 Birds,5,13,Y,N,,,verified,98
