locationid,breweryid,countryisocode,name,locality,locationtypedisplay,latitude,longitude,streetaddress,phone,postalcode,region,status,website
aqLvLE,nHLlnK,US,Asheville,Fletcher,Micro Brewery,35.4303824,-82.5489214,100 Sierra Nevada Way,,28732,North Carolina,verified,
sRxNq2,BznahA,US,Baldwinsville,Baldwinsville,Production Facility,43.1624453,-76.3096615,2885 Belgium Rd,(315) 635-4000,13027,New York,verified,http://anheuser-busch.com/
h7fD42,IImUD9,US,Breck on Blake,Denver,Restaurant/Ale House,39.7562717,-104.9912319,2220 Blake Street,303-297-3644,80205,Colorado,verified,http://www.breckbrew.com/food/breckenridge-colorado-craft
EOsuuz,IImUD9,US,Breckenridge Brewery & Farmhouse,Littleton,Production Facility,39.59331,-105.024306,6775 S. Santa Fe,303.623.2739,80120,Colorado,verified,http://www.breckbrew.com
4nwOub,IImUD9,US,Breckenridge Brewery & Pub,Breckenridge,Brewpub,39.4761913,-106.0438304,600 South Main Street,970-453-1550,80424,Colorado,verified,http://www.breckbrewpub.com/
I1q8kK,q6vJUK,US,Brevard,Brevard,Micro Brewery,35.2534666,-82.706852,342 Mountain Industrial Dr.,(828) 883-2337,28712,North Carolina,verified,http://www.oskarblues.com/
UlgBzT,BznahA,US,Cartersville,Cartersville,Production Facility,34.2558728,-84.7831874,100 Busch Dr NE,(770) 386-2000,30121,Georgia,verified,http://anheuser-busch.com/
s38mA2,nLsoQ9,US,Charleston Taproom & Beer Sanctuary,Charleston,Tasting Room,32.7784426,-79.927534,161 E Bay St.,843-853-4677,29401,South Carolina,verified,
g2d9B7,nLsoQ9,US,Chicago,Chicago,Tasting Room,41.8579099,-87.691899,2607 West 17th St.,(773) 522-2503,60608,Illinois,verified,http://lagunitas.com/
75P08u,BznahA,US,Columbus,Columbus,Production Facility,40.102482,-82.9933123,700 Schrock Rd,(614) 888-6644,43229,Ohio,verified,http://anheuser-busch.com/
jP7oIL,BznahA,US,Fairfield,Fairfield,Production Facility,38.236362,-122.091866,3101 Busch Dr,(707) 429-2000,94534,California,verified,http://anheuser-busch.com/
doVlXA,BznahA,US,Fort Collins,Fort Collins,Production Facility,40.6169416,-105.0018273,2351 Busch Dr,(970) 490-4500,80524,Colorado,verified,http://anheuser-busch.com/
s0WsY3,IImUD9,US,Global Headquarters & Tasting Room,Denver,Production Facility,39.7236683,-105.0006015,471 Kalamath Street,303-623-2739,80204,Colorado,verified,http://www.breckbrew.com/
S7YNd3,hGFVYy,US,Headquarters,Milwaukee,Office,43.0437831,-87.962092,3939 West Highland Blvd,,53208,Wisconsin,verified,
LiqcRm,BznahA,US,Houston,Houston,Production Facility,29.773088,-95.269255,775 Gellhorn Dr,(713) 675-2311,77029,Texas,verified,http://anheuser-busch.com/
y2ZQbD,BznahA,US,Jacksonville,Jacksonville,Production Facility,30.433924,-81.650619,111 Busch Dr,(904) 751-0700,32218,Florida,verified,http://anheuser-busch.com/
G8EZgb,BznahA,US,Los Angeles,Van Nuys,Production Facility,34.2210112,-118.4768522,15800 Roscoe Blvd,(818) 989-5300,91406,California,verified,http://anheuser-busch.com/
ZApGug,BznahA,US,Main Brewery,Saint Louis,Macro Brewery,38.5985037,-90.2093428,One Busch Place,(314) 577-2626,63118,Missouri,verified,http://www.anheuser-busch.com/
9RsQkk,HaPdSL,IE,Main Brewery,Dublin City,Macro Brewery,53.34309,-6.290799,109 James's Street,,8,Dublin,verified,http://www.guinness.com/
HFQ27P,p3YrOa,US,Main Brewery,West Philly,Micro Brewery,39.9477956,-75.2229305,701 S. 50th Street,(215)-726-2337,19143,Pennsylvania,verified,http://www.dockstreetbeer.com
vd0Jcg,DMU2Kf,US,Main Brewery,Tacoma,Micro Brewery,47.2438476,-122.4365583,1938 Pacific Avenue,253-383-2739,98402,Washington,verified,http://harmon.harmonbrewingco.com/
